sample_id,energy_mev,voxels,criterion,interp_fraction,max_gamma,rung,backend,device,dtype,path,pass_rate_pct,seconds_best,seconds_mean,repeats
38cf13ac-fc55-4e7a-82a9-76d9e278380e,137.6460564136505,144000,2%/2mm/10%,10,2.0,4,torch,cuda:1,float32,tensor,99.48789075002668,0.05541243404150009,0.058357089680309095,3
3de01567-4d63-4d60-be0f-717162ef3a2e,160.04783034324646,144000,2%/2mm/10%,10,2.0,4,torch,cuda:1,float32,tensor,98.61297539149888,0.05441006098408252,0.054738672993456326,3
4ee9e379-9cfe-42bd-9e27-7bb3325fdaf5,166.2262988090515,144000,2%/2mm/10%,10,2.0,4,torch,cuda:1,float32,tensor,99.43810658947727,0.0552148949354887,0.0555916316419219,3
510113c3-76bd-4bc9-9089-71e2c1bb2036,79.81263816356659,144000,2%/2mm/10%,10,2.0,4,torch,cuda:1,float32,tensor,99.76403964134025,0.053529519005678594,0.053942271624691784,3
6893e011-a87f-45fe-ae10-516bc74a5257,146.84538960456848,144000,2%/2mm/10%,10,2.0,4,torch,cuda:1,float32,tensor,99.37203247051616,0.05381174304056913,0.05707556005412092,3
695cf12e-95f8-4d8a-afdd-02ea04ada6e2,142.38298654556274,144000,2%/2mm/10%,10,2.0,4,torch,cuda:1,float32,tensor,92.94754437634323,0.07823936606291682,0.07901312538888305,3
72fd486f-084e-4000-8d19-355604cf687f,158.20101022720337,144000,2%/2mm/10%,10,2.0,4,torch,cuda:1,float32,tensor,99.06681227042588,0.054572629975154996,0.054758232979414366,3
74af10f2-83d9-4fbd-b848-5ac41694f3fd,173.58777046203613,144000,2%/2mm/10%,10,2.0,4,torch,cuda:1,float32,tensor,99.21663151551672,0.05424686800688505,0.05717880267184228,3
7a78633c-2ba5-4fee-b606-628fa3f3fa30,80.71996614336967,144000,2%/2mm/10%,10,2.0,4,torch,cuda:1,float32,tensor,99.74890144381669,0.053659262019209564,0.054351848006869354,3
836e6824-cf0d-4dff-8cbc-a17f7f47ae2a,99.21854853630066,144000,2%/2mm/10%,10,2.0,4,torch,cuda:1,float32,tensor,99.93588373584099,0.05469084205105901,0.05530673401275029,3
883a1941-a022-4bd0-aa7e-bc053cb60856,153.4105908870697,144000,2%/2mm/10%,10,2.0,4,torch,cuda:1,float32,tensor,98.11055040488206,0.05424828501418233,0.057031531973431505,3
9247005d-f858-45db-874d-bdb91ec05f6e,116.248260140419,144000,2%/2mm/10%,10,2.0,4,torch,cuda:1,float32,tensor,95.1891756452017,0.053677372983656824,0.05448118034595003,3
acad417b-c3e8-464b-9cf2-f9d9b831095b,144.26342368125916,144000,2%/2mm/10%,10,2.0,4,torch,cuda:1,float32,tensor,94.47196354269863,0.0642657580319792,0.06459110102150589,3
ae66f60e-ad24-4a8c-b34d-ab554da98962,148.0334234237671,144000,2%/2mm/10%,10,2.0,4,torch,cuda:1,float32,tensor,89.51143591825686,0.12777178105898201,0.12958605331368744,3
bb89c4a7-8088-46df-bc8f-e5e97bdb002b,153.72092843055725,144000,2%/2mm/10%,10,2.0,4,torch,cuda:1,float32,tensor,81.0571736785329,0.1378419219981879,0.13884771599744758,3
bca0a1d8-902b-43e3-9330-00667f14172f,118.96189868450165,144000,2%/2mm/10%,10,2.0,4,torch,cuda:1,float32,tensor,99.29352780309935,0.053431318956427276,0.054438443311179675,3
bce1cef6-54fc-43b5-9380-4dfecc596a02,145.6991982460022,144000,2%/2mm/10%,10,2.0,4,torch,cuda:1,float32,tensor,98.95474025295286,0.05413868895266205,0.05540015265190353,3
